,Date,Total Cases
2,22-7-2020,1239467
647,25-7-2020,1385494
862,26-7-2020,1436019
1077,27-7-2020,1482503
1292,28-7-2020,1532135
1507,29-7-2020,1584384
1937,06-8-2020,2025409
2152,07-8-2020,2086864
2367,09-8-2020,2214137
2582,10-8-2020,2267153
2797,11-8-2020,2328405
3012,12-8-2020,2395471
3227,13-8-2020,2459613
3442,14-8-2020,2525222
3657,15-8-2020,2589208
3872,16-8-2020,2647316
4087,17-8-2020,2701604
4517,24-08-20,3164881
4732,25-08-20,3231754
4947,26-08-20,3307749
5162,27-08-20,3384575
5377,28-08-20,3461240
5592,29-08-20,3539712
5807,30-08-20,3619169
6022,31-08-20,3687939
6237,09-01-20,3766108
6452,09-02-20,3848968
6667,09-03-20,3933124
6882,09-04-20,4020239
7097,09-05-20,4110839
7311,09-06-20,4202562
7526,09-07-20,4277584
7741,09-08-20,4367436
7956,09-09-20,4462965
8171,09-10-20,4559725
8386,09-11-20,4657379
8601,09-12-20,4751788
8816,13-09-20,4845003
9031,14-09-20,4926914
9246,15-09-20,5018034
9461,16-09-20,5115893
9676,17-09-20,5212686
9891,18-09-20,5305475
10106,19-09-20,5398230
10321,20-09-20,5485612
10536,21-09-20,5560105
10751,22-09-20,5640496
10966,23-09-20,5730184
11181,24-09-20,5816103
11396,25-09-20,5901576
11611,26-09-20,5990513
11826,27-09-20,6073348
12041,28-09-20,6143019
12256,29-09-20,6223519
12471,30-09-20,6310267
12686,10-01-20,6391960
12901,10-02-20,6471734
13116,10-03-20,6547413
13331,10-04-20,6622180
13546,10-05-20,6682073
13761,10-06-20,6754179
13976,10-07-20,6832988
14191,10-08-20,6903806
14406,10-09-20,6977008
14621,10-10-20,7051543
14836,10-11-20,7119300
15051,10-12-20,7173345
15266,13-10-20,7237082
15481,14-10-20,7305070
15696,15-10-20,7365435
15911,16-10-20,7430635
16126,17-10-20,7492727
16341,18-10-20,7547762
16556,19-10-20,7594284
16771,20-10-20,7649158
16986,21-10-20,7705158
17201,22-10-20,7759640
17416,23-10-20,7813668
17631,24-10-20,7863892
17846,25-10-20,7909049
18061,26-10-20,7945888
18276,27-10-20,7988853
18491,28-10-20,8038765
18706,29-10-20,8088046
18921,30-10-20,8136166
19136,31-10-20,8182881
19351,11-01-20,8229322
19566,11-02-20,8266914
19781,11-03-20,8312947
19996,11-04-20,8363412
20211,11-05-20,8411034
20426,11-06-20,8460773
20641,11-07-20,8507203
20856,11-08-20,8553864
21071,11-09-20,8591075
